patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
8da8eee4-0df5-4ac6-b96b-648a0ba6eab9,Vân Lê,547986721871,06/11/1942,0323202081,john09@example.net,"047 Phúc Phú Vũ, 760021",Khỏe mạnh,4.77,Cô Thành Trần,17/04/2026
fe716b14-15ce-4a66-8dc8-2a1ef2f9e5fa,Quý cô Vi Dương,409955736457,15/08/1979,0781123819,edang@example.net,"99 Hưng Dương, 351516",Tiểu đường,7.6,Nhiên Bảo Mai,23/02/2026
4a8ff810-784c-4f29-9804-02a2b07aa066,Xuân Mai,101668450196,20/12/1986,0518378296,janemai@example.net,"18 Quang Trí Bùi, 931131",Tiểu đường,5.51,Quý cô Yến Vũ,01/05/2026
b04d3376-77fc-4703-9fd5-a423706c5c56,Hạnh Bùi,491126460769,23/11/1971,0575220144,phamjane@example.org,"5 Quang Phạm, 142185",Tiểu đường,5.54,Chị An Bùi,01/05/2026
6f962882-95d8-4980-bf37-d19c2e76128b,Quý cô Mai Bùi,296847343925,03/03/1965,0792796819,john95@example.org,"6 Quý ông Tú Phạm, 221552",Tiểu đường,6.86,Phương Bùi,02/03/2026
5c9d927d-84b8-41bb-b005-68d20de051a6,Khoa Lê,455350713937,08/11/1954,0528776994,john27@example.com,"9 Hải Dương JohnQuận, 982277",Tim mạch,6.62,Quý ông Hoàng Mai,26/03/2026
b77350ca-eec2-49dc-bf95-897c276aa6ce,Anh Trung Đặng,191439397880,09/09/1965,0984102032,cbui@example.com,"982 Kim Phạm, 396578",Tiểu đường,7.34,Chị Hương Mai,11/05/2026
7250ee18-260a-4962-9d81-b7f57d5911c6,Cô Phương Bùi,285345498038,19/01/1991,0870518465,hnguyen@example.com,"Kim Phạm
76 Kim Phạm, 138817",Huyết áp cao,5.21,Lâm Dương,14/01/2026
b8f21423-03ed-41f8-b4f9-3d17e912b4bf,Nhật Mai Bùi,447754385198,27/10/1940,0530892478,sbui@example.org,"8 Hưng Đức Trần, 817644",Tiểu đường,8.95,Phương Đặng,26/02/2026
b4323070-a23d-4c2f-82a7-96891933918c,Quý cô An Trần,291106431158,08/01/1986,0576246082,maijohn@example.org,"23 Bác Nam Dương, 501126",Tiểu đường,9.19,Bác Minh Trần,19/01/2026
75a66981-4104-48b5-a34d-b7c5760debbb,Lâm Mai Nguyễn,124290744904,23/02/2001,0815324480,janenguyen@example.com,"Bảo Bùi
43 Bảo Bùi, 348728",Tiểu đường,9.82,Nhật Bùi,08/02/2026
fa5a91ca-059d-455d-8b94-3e30b303f438,Minh Xuân Nguyễn,317811505086,06/07/1998,0398979282,hoangjohn@example.com,"5 Hạnh Bảo Nguyễn JohnHuyện, 926918",Huyết áp cao,10.14,Vân Đặng,06/04/2026
53a3dd5a-4b8c-4bdc-a8dd-5e5a1712fb16,Chị Kim Trần,914576976536,10/10/1992,0762741317,uvu@example.org,"Bác Minh Vũ236 Bác Minh Vũ, 114594",Tim mạch,10.73,Quý cô Hải Vũ,01/03/2026
431d029f-ac1e-46d8-bfbf-397bac3e7b0d,Anh Châu Trần,104948824499,15/08/1984,0502494785,john47@example.org,"1 Trung Vũ phố, 419149",Tim mạch,7.5,Thành Dương,27/04/2026
5efa9c5b-7421-4f46-a37e-4b0122bae10e,Bảo Vũ,514464906537,03/03/1983,0757102939,john67@example.net,"773 Chị Khoa Nguyễn, 389282",Tim mạch,10.89,Anh Hoàng,13/01/2026
98de8ebb-a3b5-4ece-a446-be72364c911a,Dương Đặng,329264861891,20/02/1953,0709556819,jane53@example.org,"529 Lâm Thị Phạm, 793169",Huyết áp cao,5.7,Huy Bảo Mai,16/02/2026
52e2afd9-96bf-40ab-bce9-15e7c9d6a63b,Yến Nguyễn,868117054929,09/03/1939,0333498700,janehoang@example.org,"89 Chi Dương, 132663",Huyết áp cao,6.11,Bà An Lê,25/02/2026
e8e22743-b65f-4ea9-bd82-42641ba362e7,Dương Mai,562908230521,07/10/1979,0954711079,johnbui@example.com,"98 Quý ông Hoàng Hoàng, Quý ông Hoàng Hoàng",Tim mạch,8.06,Thành Nguyễn,22/02/2026
6d4067f4-5003-4b35-9857-8bafbac7e2b9,Quang Bùi,711942796215,01/07/1985,0340203287,johnvu@example.org,"5 Khoa Dương, 886730",Tiểu đường,5.85,Chi Trần,20/03/2026
81e5c9f6-93f2-47cc-9a85-910d5a057c11,Bà Dương Đặng,290403759121,24/09/1951,0599353811,phamjane@example.com,"89 Ông Phúc Lê, 468074",Tim mạch,9.35,Huy Đặng,16/03/2026
bdb025ff-2451-45a4-91d0-59b26699cd99,Cô Nhật Mai,679303558518,24/01/1951,0351261540,hhoang@example.org,"9 Yến Hoàng JohnHuyện, 564637",Huyết áp cao,7.8,Quý cô Vi Lê,05/02/2026
585d3f86-1d23-44e6-8329-20b7c143f426,Chị Linh Dương,343184858179,19/11/1970,0933024018,kpham@example.net,"32 Ánh Hoàng, 551574",Khỏe mạnh,9.33,Duyên Hoàng,03/04/2026
ab05347f-d556-437d-8f08-81ee8011316b,Anh Phạm,919612521317,16/03/1967,0912000174,vujane@example.org,"6 Chị Khoa Hoàng, 582446",Tiểu đường,6.89,Ánh Phạm,01/02/2026
1422373f-8622-48d1-a683-e10796c044d0,Anh Khoa Bùi,251323399816,03/09/1959,0793879996,vduong@example.com,"52 Anh Anh Hoàng, 731661",Huyết áp cao,8.5,Duyên Đặng,02/03/2026
72eb7474-9458-454e-8287-4f069050f7ef,Hạnh Hoàng,368378381911,05/05/1940,0757235115,hoangjane@example.net,"1 Quý ông Huy Bùi JaneHuyện, 180458",Tiểu đường,6.33,Chị Thành Phạm,08/03/2026
f4488385-8de7-4d6c-9490-77c27674456f,Bà Thành Nguyễn,113750302389,11/12/1982,0973996731,tranjohn@example.net,"1 Trọng Bảo Nguyễn, 648141",Huyết áp cao,9.4,Thành Trí Đặng,20/02/2026
990f0c5b-adcc-4daf-969f-3ab3c6435300,Hưng Vũ,107329830806,03/03/1940,0500603187,lejohn@example.net,"19 Chị Lan Phạm, 843266",Tim mạch,10.07,Hải Đức Vũ,19/02/2026
20b71785-d02c-40c1-9417-0a17caaa5bbe,Ngọc Nguyễn,136610772345,24/06/1972,0563822746,tranjohn@example.com,"33 Quý cô Hồng Bùi, 908320",Huyết áp cao,6.86,Anh Huy Đặng,25/04/2026
6070b6a1-98e5-4499-a18c-6e1c9e374f7a,Trọng Tấn Vũ,970531474271,03/06/1994,0372768160,john45@example.com,"94 Quý cô Thành Mai, 485709",Khỏe mạnh,11.2,Dũng Mai,07/03/2026
d11fc8c0-297c-44ff-b75d-599f6b2d5b09,Nhiên Dương,649192126385,03/03/1939,0811032694,janebui@example.org,"12 Huy Quang Dương, 956375",Tiểu đường,9.44,Chị Nhật Mai,07/01/2026
62dbc850-3c5b-43a7-9fbb-f0b1808389c8,Quý cô Lâm Mai,832814089765,01/06/1937,0926389542,jane08@example.org,"2 Nhật Bùi, 975522",Huyết áp cao,8.95,Hưng Nguyễn,01/02/2026
6b79afcc-3d0a-4f0c-8c39-4ec71f317405,Chị Lâm Vũ,189353541863,03/12/1978,0808364687,bbui@example.net,"953 Bà Hải Hoàng, Bà Hải Hoàng",Tiểu đường,9.21,Nhật Phú Trần,06/01/2026
40ef3935-5f90-4ed6-bb25-664d630aa767,Dương Vũ,329979817398,12/07/1960,0958985739,lejohn@example.org,"2 Nam Nguyễn, 407696",Tiểu đường,11.41,Phương Hải Vũ,27/04/2026
83f02dc7-4f61-4217-aef1-669450cae32d,Nhật Nguyễn,734545518801,12/01/1938,0973907340,maijohn@example.com,"15 Bác Huy Vũ, 620306",Khỏe mạnh,7.83,Phương Phạm,15/04/2026
6e3c4532-1434-4f62-acac-028cba220065,Hạnh Hải Bùi,125527726263,15/03/1941,0392968761,johnnguyen@example.org,"70 Quý cô Hồng Trần, 803787",Huyết áp cao,3.52,Khoa Hoàng,19/01/2026
702c1821-c804-4fb7-ad97-3b679b89e5cb,Ông Trung Mai,587803806337,02/08/1952,0869811267,tranjohn@example.org,"57 Linh Lê, 392227",Tim mạch,7.46,Hạnh Hoàng,07/03/2026
1e2595b8-8fc9-486b-a9dd-ebf563119aca,Bảo Dương,547976584927,09/01/1951,0710134917,smai@example.com,"715 Cô Phương Phạm, 844031",Tiểu đường,3.73,Thảo Phạm,16/01/2026
3c9abe10-238d-4f44-8ac4-d0eb3373730e,Bảo Hoàng,698081347760,19/02/1977,0737021333,dduong@example.org,"67 Hà Mai xã, 588461",Tiểu đường,5.18,Nhật Phạm,26/02/2026
d4d60735-0e2f-4958-9e43-1e06e9247069,Tú Văn Lê,398763446361,24/07/1957,0943006746,jbui@example.org,"438 Cô Dương Hoàng, 790731",Tim mạch,6.68,Hải Bùi,11/01/2026
93a74792-c561-48dc-a436-4fcdf2d3f761,Quang Vũ,987669412811,08/10/1965,0517743734,john82@example.com,"647 Ông Hưng Nguyễn, 587002",Tiểu đường,10.74,Chị An Đặng,10/02/2026
fcef1972-bbf4-43ce-91be-b80eb7e6a14c,Chị Lan Trần,780854841293,14/12/1972,0391987866,john97@example.com,"210 Quý cô Thảo Phạm, 856157",Tim mạch,10.36,Phương Đặng,11/05/2026
4efc8248-e10b-4a47-bfae-b7487781321e,Vũ Mai,634386583099,04/04/1972,0909328243,john91@example.com,"97 Cô Khoa Dương JohnHuyện, 862847",Huyết áp cao,4.93,Tùng Trần,22/02/2026
5cce5ba9-31d4-4e09-8fd3-3afc91fdfa4f,Quý cô Hạnh Nguyễn,300910610138,03/03/1972,0538399548,phamjane@example.com,"5 Trọng Lê JohnQuận, 848255",Huyết áp cao,5.54,Cô Hạnh Bùi,21/03/2026
ee6e2e72-53f5-41dc-a3c8-afdb83f82f16,Quý ông Quang Phạm,983234449992,01/05/1989,0790683508,jane91@example.net,"05 Cô Chi Hoàng, 597643",Huyết áp cao,6.67,Hà Phạm,30/01/2026
2ba6adb3-7afe-4114-9561-c8130d259caa,Nhiên Hoàng,603449334221,27/02/1977,0981448923,rle@example.net,"36 Bà Hải Mai, 495129",Tim mạch,7.24,Tùng Hoàng Hoàng,14/02/2026
de1e994a-c5a1-4f5c-ad05-b9125ab28d4a,Mai Nguyễn,499957935125,24/05/1949,0594703502,johnle@example.com,"37 Chị Lâm Nguyễn, 701334",Tim mạch,9.97,Nhiên Quang Nguyễn,08/02/2026
143b45e3-b6d1-46bb-b48f-709c49a22441,Ông Tú Nguyễn,648650633165,24/12/1950,0985348032,johnmai@example.org,"083 Quý cô Thành Mai, 595351",Huyết áp cao,3.58,Quang Vũ,01/01/2026
286ed390-edd9-4a1a-ba58-5b278ce3e7c3,Bảo Hữu Hoàng,179481701970,06/11/1982,0970741276,john58@example.net,"0 Dũng Nguyễn JaneQuận, 885386",Tim mạch,5.62,Thành Mai,09/02/2026
fba57cc8-edaf-4766-9b78-0ede9a4ffc0c,Bà Ngọc Vũ,341663445666,20/08/1973,0715828729,phamjane@example.org,"742 Quý ông Nam Phạm xã, 640310",Khỏe mạnh,11.01,Ông Minh Lê,25/01/2026
ef9240b6-52d7-4f10-ba3a-6e9623ff23d3,Thành Trí Mai,335320160914,20/07/1952,0847758818,cle@example.net,"5 Quý cô Mai Phạm, 525110",Khỏe mạnh,4.06,Nhật Phạm,18/02/2026
22319050-f515-4494-b818-cfd33889936a,Quý cô Khoa Mai,956839994330,20/08/1962,0889798433,hoangjane@example.net,"9 Trọng Nguyễn JohnXã, 630041",Tiểu đường,5.73,Bác Nam Bùi,22/04/2026
3495311e-ae27-4432-9dc1-e7eb711c7673,Hạnh Bảo Đặng,454834715134,24/05/1994,0317137712,cle@example.org,"7 Cô Dương Trần, 328486",Khỏe mạnh,10.91,Bảo Bảo Phạm,15/02/2026
0f6ce9bf-fe7e-4362-8a89-b0f0105291d3,Khoa Xuân Bùi,707408892980,25/04/1956,0935119507,lejohn@example.net,"Phúc Nguyễn
825 Phúc Nguyễn, 654531",Huyết áp cao,11.18,Hạnh Mai,09/05/2026
8b60c511-b816-4aeb-ac6a-7c8576876c62,Quý cô Ánh Mai,305316555250,05/06/1953,0515632083,maijohn@example.com,"6 Bác Minh Bùi, 726822",Tim mạch,5.25,Bảo Hữu Đặng,22/02/2026
c11f6bf5-379e-4467-8a2d-b2e63bfda8a6,Hạnh Thị Hoàng,679061838930,20/11/2007,0780591666,lle@example.net,"428 Kim Nguyễn, 720407",Huyết áp cao,9.57,Bà Khoa Vũ,07/01/2026
abdd1a8f-a4b0-4c89-b10b-ce9c582b91ee,Hoàng Đức Phạm,577534287168,28/02/1965,0907639602,dbui@example.com,"27 Nhật Phạm, 313214",Tiểu đường,6.91,Hưng Dương,13/01/2026
0d31812e-30c3-4756-9453-f867b97e6224,Chị Linh Bùi,835623871594,17/05/1979,0970817051,jane83@example.com,"03 Hạnh Phạm, 678897",Tim mạch,6.88,Thành Mai,11/03/2026
5c11ab6d-42f5-43f5-8ef4-c34d5bf86f3c,Bảo Bùi,897939268817,17/12/1990,0757958477,ibui@example.com,"2 Bác Hoàng Bùi, 445888",Huyết áp cao,9.92,Tùng Đức Hoàng,07/03/2026
566a9ce7-af52-4b94-b186-e47aa7946320,An Mai Bảo Bùi,857503095690,31/12/1968,0900376920,uduong@example.com,"0 Bác Châu Nguyễn, 342675",Huyết áp cao,5.7,Nhật Văn Vũ,02/01/2026
0f79a8a7-5f8a-44bd-b4bd-0c938177b661,Trọng Mai Bùi,656764176391,18/03/1974,0878938074,ihoang@example.org,"862 Quý ông Khoa Hoàng, 380310",Tiểu đường,10.56,Quý cô Linh Đặng,02/03/2026
39d1c7ff-b27e-4442-bd7f-e9733e42df5b,Vũ Hoàng,570753448352,09/03/1942,0344565599,buijane@example.org,"2 Cô Linh Nguyễn, 144618",Huyết áp cao,3.68,Bà Hải Đặng,04/03/2026
af36b8cc-1308-4974-ac95-b3ac0beb7c34,Châu Lê,471341204114,27/05/1983,0954087316,john90@example.net,"429 Quý ông Trọng Bùi, 859340",Tim mạch,5.44,Trọng Mai Bảo Nguyễn,08/01/2026
1375ee90-d6b3-41e4-bb6d-ca0d6fe5040b,Dương Nguyễn,113316119608,09/07/1937,0509653868,lduong@example.org,"29 Lâm Đức Dương, 261712",Huyết áp cao,11.73,Hồng Mai,11/02/2026
f165d779-0154-4950-976d-e21f1b46ebdc,Linh Phạm,543542770690,09/12/1990,0597316945,dmai@example.org,"015 Nhiên Mai xã, 917018",Khỏe mạnh,9.59,Tùng Đức Phạm,29/04/2026
85671b58-926b-4fa5-be24-5fbffa698cd2,Duyên Đặng,726103511061,28/12/1954,0540993448,johnbui@example.org,"71 Thành Nguyễn, 212168",Tim mạch,5.74,Thành Đức Lê,13/02/2026
dcb9075e-cdd7-4460-a140-77d39ec4ea48,Thành Phạm,357971663174,21/11/1994,0589418069,hoangjohn@example.net,"52 Quang Nguyễn, 494322",Tiểu đường,6.9,Quý cô Vi Nguyễn,15/01/2026
ff4cc10f-979c-40cf-b326-1887905881df,Thành Tấn Dương,108347735214,13/03/2004,0968475042,jane08@example.com,"7 Quang Đặng, 543681",Huyết áp cao,6.51,Chị Hạnh Bùi,04/03/2026
ec6a37ad-81b1-4db9-88cc-4d49669b29b8,Khoa Đặng,399486119464,31/07/1986,0793204600,lle@example.com,"9 Dương Phạm, 203396",Huyết áp cao,8.16,Yến Hoàng,08/04/2026
9342a09f-b00a-464c-949c-d8d48ed8a80d,Trung Dương,278150292938,01/03/1969,0535169318,duongjane@example.org,"125 Nhật Mai Lê, 202365",Huyết áp cao,9.62,Kim Bùi,09/02/2026
05c8234b-1d76-4a66-b5f5-9cb0cf685878,Hạnh Phú Nguyễn,171266147054,10/01/1973,0302674542,svu@example.net,"22 Bà Mai Bùi, 104666",Khỏe mạnh,6.29,Phúc Quang Mai,17/03/2026
2fdc9992-8971-4eea-9f3a-098accac2fb5,Hưng Bảo Nguyễn,375502041678,05/09/1943,0580145939,nguyenjohn@example.org,"1 Nam Phạm, 240454",Tim mạch,8.63,Quý cô Nhật Hoàng,16/01/2026
82c56b21-2430-42da-b185-0eb85f90fc87,Linh Dương,229063784026,16/05/1963,0368502756,johnmai@example.org,"2 Cô Lan Dương, 156215",Huyết áp cao,11.8,Nam Mai,26/01/2026
816462cb-8fc3-47d3-b6bd-80c7624a2a50,Bác Nhiên Hoàng,973203001799,15/03/1987,0328164864,john21@example.net,"04 Cô Ngọc Lê, 635618",Khỏe mạnh,5.19,Châu Bảo Phạm,05/02/2026
5deaa737-fdab-4441-92c2-a9608b0901ab,Linh Phạm,991861878590,30/03/1975,0752727078,jane38@example.org,"745 Nhật Thị Phạm, 739905",Khỏe mạnh,11.33,Quý cô Hồng Vũ,17/04/2026
59cf0b0d-91f0-447d-8f32-1333ce315937,Hồng Hoàng,811203027467,26/08/1947,0864449569,jane59@example.org,"Chị Hải Nguyễn
2 Chị Hải Nguyễn, 845951",Huyết áp cao,11.78,Thành Văn Lê,19/01/2026
6a0aa7d5-a0b8-4755-84ca-a5a2a1e518a2,Anh Huy Hoàng,582498338071,07/10/1964,0971725092,janebui@example.net,"7 Nhiên Trí Mai, 381581",Khỏe mạnh,4.51,Bác Tùng Đặng,17/03/2026
c9ce44bd-7c3f-4add-9a38-5db590eeb067,Phương Hoàng,450951110213,26/01/1981,0517445492,tranjohn@example.com,"32 Quý ông Tùng Đặng phố, 489906",Huyết áp cao,6.86,Nhiên Vũ,06/04/2026
a7cde143-6de2-4429-bbf0-d9c1c156e501,Hạnh Bảo Lê,350432996598,09/06/1935,0803598729,inguyen@example.com,"051 Tú Vũ phố, 866260",Tiểu đường,6.26,Khoa Văn Vũ,18/02/2026
c601818b-61fa-41ba-a31a-e7c74c9bff5c,Bà Khoa Bùi,767561636803,24/06/1976,0331012231,johnbui@example.net,"97 Trọng Mai Bảo Lê, 550246",Tim mạch,5.26,Ông Trung Vũ,26/03/2026
999a1d86-99db-4302-8dab-66d33f87dfc2,Xuân Vũ,291244137845,11/05/1950,0337566276,john85@example.com,"61 Bác Minh Lê, 505629",Huyết áp cao,10.79,Tú Nguyễn,06/05/2026
965d744f-0445-41a8-92af-97e4c536c66e,Phương Vũ,842726952758,09/02/1951,0826498347,hoangjohn@example.net,"61 Phúc Lê, 313068",Tim mạch,4.57,An Quang Nguyễn,25/03/2026
a4a5c736-ae59-4a52-a65b-e22bd5a386d9,Quý cô Linh Phạm,211093483331,24/08/1988,0329723118,duongjane@example.net,"99 Minh Trần, 111901",Huyết áp cao,6.88,Quý ông Quang Hoàng,09/03/2026
2abe1585-425e-4259-b884-16d2d28fcf68,Cô Hà Mai,960161453004,04/09/1991,0808502650,jane34@example.net,"9 Chị Hương Lê, 694423",Khỏe mạnh,4.05,Quý cô Bảo Bùi,12/04/2026
b90800f3-ac93-481a-92eb-eab0e4eec67c,Lâm Mai,952613975085,19/07/1935,0855002077,buijohn@example.org,"086 Hương Lê, 966120",Huyết áp cao,4.79,Cô Nhật Đặng,16/01/2026
2de982f8-0d7b-4c04-a6e5-9b32ac5f12ef,Chị Yến Lê,555794149866,20/05/1999,0906480384,phamjohn@example.org,"494 Ông Vũ Phạm, 673108",Tiểu đường,7.37,Bà Mai Dương,04/01/2026
d6ee526b-a2cd-4590-98af-393c8aa2b4c9,Quý ông Tú Dương,851017583605,06/10/1990,0947663552,btran@example.org,"70 Quý cô Hà Trần, 490586",Tim mạch,3.96,Hà Bùi,08/03/2026
13281726-64f4-44d6-91e9-1691a3209116,Lan Bùi,486802356664,23/08/1952,0733716171,johnle@example.org,"329 Bảo Trí Đặng JaneHuyện, 526259",Huyết áp cao,3.53,Kim Đức Mai,07/05/2026
769de1e3-4eed-4124-b3b0-d6763527a5c8,Chị An Hoàng,922085051221,12/11/1946,0807356125,maijane@example.com,"68 Thành Đức Lê, 682959",Khỏe mạnh,3.99,Cô Duyên Trần,16/04/2026
0fc98d2e-030f-4be9-9f17-8f9323c97a1e,Tú Hoàng Phạm,968359368480,14/07/1962,0936117052,buijohn@example.com,"721 Linh Hoàng, 701761",Khỏe mạnh,10.54,Quý cô Nhật Phạm,04/01/2026
5a9c0679-2c3d-47e2-ad39-da75aee70ab2,Bà Duyên Nguyễn,119626502815,02/12/1967,0524719544,janevu@example.org,"68 Chị Ngọc Lê, 539599",Khỏe mạnh,8.45,Bà Thành Nguyễn,15/04/2026
b69f75c5-c82b-41be-a1eb-64e6fd498e20,Châu Lê,608771458402,26/12/2001,0598932622,johnle@example.com,"407 Chị Lan Dương, 352867",Tim mạch,10.31,Quý ông Vũ Đặng,11/04/2026
d8b48ead-9360-4edf-b82b-5b86f2a32efd,Quý cô Chi Đặng,487811748661,17/08/1952,0833785979,jpham@example.com,"3 Phương Nguyễn, 158896",Tiểu đường,5.48,Quý ông Nam Hoàng,04/03/2026
33932b6c-9d37-4fb6-aafb-3e9054ec84ce,Chị Thảo Trần,997939531602,07/06/2002,0394151936,jane19@example.com,"851 Ông Hoàng Bùi, 243079",Tiểu đường,8.48,Kim Thế Đặng,27/03/2026
8fddbebc-f7ff-48d4-b509-f08a2c988bca,Chị Hương Phạm,711605979106,04/10/1957,0376782090,jane61@example.org,"0 Hải Nguyễn, 881549",Tim mạch,5.41,Chị Hạnh Dương,09/05/2026
f68c62e6-e2a4-4909-a2dd-22d52afaab7b,Minh Tấn Vũ,836213069762,18/12/1967,0990368970,ltran@example.net,"0 Bà Mai Phạm, 617033",Khỏe mạnh,7.87,Hải Đức Nguyễn,19/04/2026
a6a5f0ff-93fb-41d0-9d32-6d9cc9ea356a,Hưng Quang Vũ,234331849780,13/09/1993,0867092454,tranjane@example.com,"526 Bà Lâm Đặng, 132498",Khỏe mạnh,9.76,Bác Quang Dương,27/04/2026
